,Unnamed: 0,First Author,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,SUM Completed,University,Region,Degree area,Lab Size,Highest Degree,Other Jornals Published in,Publications,Career Years,Publication Rate,event_cnt,fatality_cnt,injury_cnt,World Rank,Teaching,Research,GDP ($ per capita),Literacy (%),Pop. Density (per sq. mi.),Falsified Media Machine,Falsefiled Media Detected
10,10,Arumugam Nagalingam,"Arumugam Nagalingam, Jack L Arbiser, Michael Y Bonner, Neeraj K Saxena, and Dipali Sharma",Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,"Breast Cancer Research 2012, 14:R35",10.1186/bcr3128,2012,,,1.0,,,Duplicated microscopy images,1,3/28/2017,,1.0,,1,Johns Hopkins University and the Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,USA,Oncology,222,,"BioMed Central, Europe PubMed Central, PubMed Central",26.0,16.0,1.62,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.83537686,True
11,11,Asim A. Siddiqui,"Asim A. Siddiqui, Jia Xainli, Jesse Schloegel, Lenore Carias, Francis Ntumngia, Menachem Shoham, Joanne L. Casey, Michael Foley, John H. Adams, and Christopher L. King",Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes,"Infect. Immun. 2012, 80(8):2920",10.1128/IAI.00206-12,2012,IAI,,,1.0,,"duplicated, shifted, rotated blot strips/lanes",1,6/1/2015,1.0,,,1,Case Western Reserve University,USA,Global Health and Diseases,117,,"Atypon, Europe PubMed Central, PubMed Central",23.0,14.0,1.64,2992.0,96.0,50.0,104,56.5,42.0,37800.0,97.0,31.0,0.64284235,True
12,12,BO LI,"BO LI, YUEHUA YANG, SHENGDAN JIANG, BINBIN NI, KE CHEN, and LEISHENG JIANG",Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,"INTERNATIONAL JOURNAL OF ONCOLOGY 41: 1809-1819, 2012",10.3892/ijo.2012.1617,2012,,,1.0,,,Duplicated blot panel,1,9/28/2016,,1.0,,1,Shanghai Jiao Tong University,China,Orthopaedic,939,PhD,"Ingenta plc, Spandidos Publications",5356.0,41.0,130.63,426.0,4945.0,318.0,276-300,43.4,37.9,5000.0,90.9,136.9,0.72662926,True
13,13,Balamayooran Theivanthiran,"Balamayooran Theivanthiran, Sanjay Batra, Gayathriy Balamayooran, Shanshan Cai, Koichi Kobayashi, Richard A. Flavell, and Samithamby Jeyaseelan",NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection,"Infect. Immun. 2012, 80(7):2558",10.1128/IAI.06230-11,2012,IAI,,,1.0,,"duplicated, shifted blot panels",1,5/1/2015,1.0,,,1,,USA,Lung Biology,99,,"Atypon, Europe PubMed Central, PubMed Central",10.0,11.0,0.91,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.8491791,True
14,14,Baoyi Zhu,"Baoyi Zhu, Xiaojuan Li, Yuying Zhang, Chunwei Ye, Yu Wang, Songwang Cai, Huaiqiu Huang, Yi Cai, Shuyuan Yeh, Zhenhua Huang, Ruihan Chen, Yiran Tao, and Xingqiao Wen",Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells,"Int. J. Cancer: 132, 2270?2282 (2013)",10.1002/ijc.27927,2013,,,,1.0,,Multiple cases of overlapping microscopy images,1,7/1/2015,1.0,,,1,Sun Yat-sen University,China,Urology,369,,"Ovid Technologies, Inc., Wiley",34.0,11.0,3.09,426.0,4945.0,318.0,301-350,33.1,17.8,5000.0,90.9,136.9,0.58534735,True
15,15,Bin-Bin Ni,"Bin-Bin Ni, Bo Li, Yue-Hua Yang, Jiang-Wei Chen, Ke Chen, Sheng-Dan Jiang, Lei-Sheng Jiang ",The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,Cytokine 70 (2014) 87?96,10.1016/j.cyto.2014.07.249,2014,,,,1.0,,"Duplicated FACS panel, gated differently",1,,,,1.0,1,Shanghai Jiao Tong University,China,Orthopedic Surgery,48,,Elsevier Science,6.0,6.0,1.0,426.0,4945.0,318.0,276-300,43.4,37.9,5000.0,90.9,136.9,0.6547435,True
16,16,Bo Gao,"Bo Gao, Qiang Huang, Yan-Shui Lin, Bo-Yuan Wei, Yun-Shan Guo, Zhen Sun, Long Wang, Jing Fan, Hong-Yang Zhang, Yue-Hu Han, Xiao-Jie Li, Jun Shi, Jian Liu, Liu Yang, Zhuo-Jing Luo",Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway,"PLoS ONE 9(6): e99137, June 11, 2014. doi:10.1371/journal.pone.0099137",10.1371/journal.pone.0099137,2014,06June,,,1.0,,"Duplicated, and stretched microscopy images, multiple cases",1,12/2/2014,,1.0,,1,Fourth Military Medical University,China,Orthopedic Surgery,903,"MD, PhD","Europe PubMed Central, PubMed Central, Public Library of Science",1137.0,36.0,31.58,426.0,4945.0,318.0,,,,5000.0,90.9,136.9,0.78213936,True
17,17,Brenda A. Wilson,"Brenda A. Wilson, Virgilio G. Ponferrada, Jefferson E. Vallence, and Mengfei Ho",Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus,"Infection, and Immunity, Jan. 1999, p. 80?87 Vol. 67, No. 1",PMID: 9864199,1999,IAI,,1.0,,,"Identical microscopy panels, might be error",1,,,,1.0,1,Wright State University,USA,Biochemistry and Molecular Biology,759,PhD,"Atypon, Europe PubMed Central, PubMed Central",85.0,19.0,4.47,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.7407081,True
18,18,CHIACHEN CHEN,"CHIACHEN CHEN, YUAN-CHING CHANG, MICHAEL S. LAN, and MARY BRESLIN",Leptin stimulates ovarian cancer cell growth and inhibits apoptosis by increasing cyclin D1 and Mcl-1 expression via the activation of the MEK/ERK1/2 and PI3K/Akt signaling pathways,"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1113-1119, 2013",10.3892/ijo.2013.1789,2013,,,,1.0,,Duplicated and mirrored blot,1,6/6/2016,,1.0,,1,National Taiwan University,Taiwan,Medicine,387,PhD,"Ingenta plc, Spandidos Publications",59.0,19.0,3.11,68.0,540.0,19.0,134,56.4,65.7,23400.0,96.1,640.3,0.7557520000000001,True
19,19,CM Das,"CM Das, P Taylor, M Gireud, A Singh, D Lee, G Fuller, L Ji, J Fangusaro, V Rajaram, S Goldman, C Eberhart, and V Gopalakrishnan",The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,"Oncogene (2013) 32, 1691?1701",10.1038/onc.2012.182,2012,,,1.0,,,Duplicated blot,1,11/24/2016,,1.0,,1,The University of Texas M. D. Anderson Cancer Center,USA,Pediatrics and Molecular and Cellular Oncology,2313,MD,"Europe PubMed Central, Nature Publishing Group, Ovid Technologies, Inc., PubMed Central",2086.0,54.0,38.63,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.70422417,True
20,20,Carlos J. Blondel,"Carlos J. Blondel, Juan C. Jime_nez, Lorenzo E. Leiva, Sergio A. ?lvarez, Bernardo I. Pinto, Francisca Contreras, David Pezoa, Carlos A. Santiviago, and In?s Contrerasnd",The Type VI Secretion System Encoded in Salmonella Pathogenicity Island 19 Is Required for Salmonella enterica Serotype Gallinarum Survival within Infected Macrophages,"Infect. Immun. 2013, 81(4):1207",10.1128/IAI.01165-12,2013,IAI,,,1.0,,duplicated/mirrored blot panels (negative blots),1,10/1/2015,,1.0,,1,,Chile,Bioqu¨ªmica y Biolog¨ªa Molecular,402,PhD,"Atypon, Europe PubMed Central, PubMed Central",26.0,14.0,1.86,14.0,12.0,0.0,,,,9900.0,96.2,21.3,0.79108304,True
21,21,Catherine J. Hunter,"Catherine J. Hunter, Monica Williams, Mikael Petrosyan, Yigit Guner, Rahul Mittal, Dennis Mock, Jeffrey S. Upperman, Henri R. Ford, and Nemani V. Prasadarao",Lactobacillus bulgaricus Prevents Intestinal Epithelial Cell Injury Caused by Enterobacter sakazakii-Induced Nitric Oxide both In Vitro and in the Newborn Rat Model of Necrotizing Enterocolitis__,"Infect. Immun. Mar. 2009, p. 1031?1043 Vol. 77, No. 3",10.1128/IAI.01192-08,2009,IAI,,,1.0,,"Overlapping microscopy, mirrored blot panels, multiple cases",1,,,,1.0,1,,,Surgery,492,MD,"Atypon, Europe PubMed Central, PubMed Central",72.0,16.0,4.5,,,,,,,,,,0.7874999,True
22,22,Cathleen D. Valentine,"Cathleen D. Valentine, Marc O. Anderson, Feroz R. Papa, Peter M. Haggie",X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis,"PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576",10.1371/journal.ppat.1003576,2013,08August,,1.0,,,Duplicated microscopy panels,1,5/19/2016,,1.0,,1,"University of California, San Fransico",USA,Nephrology,39,,"Europe PubMed Central, PubMed Central, Public Library of Science",12.0,10.0,1.2,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.81734693,True
23,23,Chao-Bin Yeh,"Chao-Bin Yeh, Ming-Ju Hsieh, Yih-Shou Hsieh, Ming-Hsien Chien, Pen-Yuan Lin, Hui-Ling Chiou, and Shun-Fa Yang",Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity,"Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 595292",10.1155/2012/595292,2012,,,,1.0,,overlapping microscopy images,1,11/15/2015,,1.0,,1,Chung Shan Medical University,Taiwan,Emergency Medicine,447,MD,"Europe PubMed Central, Hindawi Limited, PubMed Central",81.0,12.0,6.75,68.0,540.0,19.0,,,,23400.0,96.1,640.3,0.75319004,True
24,24,Chih-Yu Peng,"Chih-Yu Peng, Hui-Wen Yang, Yin-Hung Chu, Yu-Chao Chang, Ming-Ju Hsieh, Ming-Yung Chou, Kun-Tu Yeh, Yueh-Min Lin, Shun-Fa Yang, and Chiao-Wen Lin",Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway,"Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 732578",10.1155/2012/732578,2012,,,1.0,,,Duplicated microscopy panels,1,1/6/2016,,1.0,,1,Chung Shan Medical University,Taiwan,Dentistry,342,,"Europe PubMed Central, Hindawi Limited, PubMed Central",42.0,15.0,2.8,68.0,540.0,19.0,,,,23400.0,96.1,640.3,0.7427976,True
25,25,Chih-Zen Chang,"Chih-Zen Chang, Shu-Chuan Wu, and Aij-Lie Kwan","Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm","BioMed Research International, Volume 2014, Article ID 272101",10.1155/2014/272101,2014,,,,1.0,,"Two sets of duplicated blot panels, one rotated",1,1/12/2016,,1.0,,1,Kaohsiung Medical University,Taiwan,Surgery,123,,"Europe PubMed Central, Hindawi Limited, PubMed Central",31.0,15.0,2.07,68.0,540.0,19.0,,,,23400.0,96.1,640.3,0.8069189,True
26,26,Chiung-Chyi Shen,"Chiung-Chyi Shen, Yi-Chin Yang, Ming-Tsang Chiao, Shiuh-Chuan Chan, and Bai-Shuan Liu",Low-Level Laser Stimulation on Adipose-Tissue-Derived Stem Cell Treatments for Focal Cerebral Ischemia in Rats,"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 594906",10.1155/2013/594906,2013,,,,1.0,,shifted GAPDH panels,1,12/10/2015,,1.0,,1,Hung Kuang University,Taiwan,Neurosurgery,7965,"MD,PhD","Europe PubMed Central, Hindawi Limited, PubMed Central",97.0,20.0,4.85,68.0,540.0,19.0,,,,23400.0,96.1,640.3,0.7326918,True
27,27,Christina Galloway,"Christina Galloway, Munmun Chattopadhyay ",Increases in inflammatory mediators in DRG implicate in the pathogenesis of painful neuropathy in Type 2 diabetes,Cytokine 63 (2013) 1?5,10.1016/j.cyto.2013.04.009,2013,,,,1.0,,"Duplicated control panel, stretched",1,,,,1.0,1,University of Michigan,USA,Neuroloy,9,,Elsevier Science,3.0,5.0,0.6,2992.0,96.0,50.0,20,76.1,91.4,37800.0,97.0,31.0,0.5767699000000001,True
28,28,Christophe Broca,"Christophe Broca,  Elodie Varin, Mathieu Armanet, C?cile Tourrel-Cuzin, Domenico Bosco,  St?phane Dalle, Anne Wojtusciszyn",Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066",10.1371/journal.pone.0092066,2014,03March,,,1.0,,duplicated/reused actin blot panels,1,7/7/2014,,1.0,,1,University Hospital St-Eloi,France,Diabetes Cell Therapy,390,,"Europe PubMed Central, PubMed Central, Public Library of Science",23.0,17.0,1.35,22.0,10.0,28.0,,,,27600.0,99.0,111.3,0.61757064,True
29,29,Christopher W. Cutler,"Christopher W. Cutler, Paul I. Eke, Caroline A. Genco, Thomas E. Van Dyke, and Roland R. Arnold",Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide,"Infect. Immun. June 1996, p. 2282?2287 Vol. 64, No. 6",PMID: 8675338,1996,IAI,,,,1,"Cut, and duplicated SDS PAGE parts",1,,,,1.0,1,Baylor College of Dentistry,USA,Biomedical Sciences and Periodontics,621,"DDS, PhD","Atypon, Europe PubMed Central, PubMed Central",66.0,18.0,3.67,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.7479655,True
30,30,Chuan Li,"Chuan Li, Cheng Wang, Lingxue Meng, Jiewen Xing, Tianya Wang, Hua Yang, Yingyin Yao, Huiru Peng, Zhaorong Hu, Qixin Sun, Zhongfu Ni",Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,"PLOS One, April 2014 | Volume 9 | Issue 4 | e94830",10.1371/journal.pone.0094830,2014,04April,,,,1,"Manipulated plant images, duplication of seeds, manipulated leaves",1,5/12/2016,1.0,,,1,China Agricultural University,China,Agrobiotechnology and Crop Heterosis and Utilization (MOE),591,,"Europe PubMed Central, PubMed Central, Public Library of Science",837.0,25.0,33.48,426.0,4945.0,318.0,,,,5000.0,90.9,136.9,0.81303835,True
31,31,Chung-Hsi Hsing,"Chung-Hsi Hsing, Hsing-Hui Li, Yu-Hsiang Hsu, Chung-Liang Ho, Shih-Sung Chuang, Kuo-Mao Lan, Ming-Shi Chang",The distribution of interleukin-19 in healthy and neoplastic tissue,Cytokine 44 (2008) 221?228,10.1016/j.cyto.2008.06.007,2008,,,,1.0,,"Duplicated blot panel, stretched",1,,,,1.0,1,Chi-Mei Medical Center,Taiwan,Medical Research,726,"MD,PhD",Elsevier Science,98.0,20.0,4.9,68.0,540.0,19.0,,,,23400.0,96.1,640.3,0.696738,True
32,32,Chung-ming Chu,"Chung-ming Chu, Patrick C. Y. Woo, Ken T. K. Chong, Wah-shing Leung, Veronica L. Chan, and Kwok-yung Yuen",Association of Presence of Aspergillus Antibodies with Hemoptysis in Patients with Old Tuberculosis or Bronchiectasis but No Radiologically Visible Mycetoma,"J. Clin. Microbiol. 2004, 42(2):665",10.1128/JCM.42.2.665-669.2004,2004,JCM,,1.0,,,multiple duplications of negative blot strips,1,,,,1.0,1,,,Respiratory Medicine,459,,"Atypon, Europe PubMed Central, PubMed Central",40.0,17.0,2.35,,,,,,,,,,0.7406716,True
33,33,Corentin Herbert,"Corentin Herbert, Ulrich Schieborr, Krishna Saxena, Jarek Juraszek, Frederik De Smet, Chantal Alcouffe, Marc Bianciotto, Giorgio Saladino, David Sibrac, Denis Kudlinzki, Sridhar Sreeramulu, Alan Brown, Patrice Rigon, Jean-Pascal Herault, Gilbert Lassalle,1 Tom L. Blundell, Frederic Rousseau, Ann Gils, Joost Schymkowitz, Peter Tompa, Jean-Marc Herbert, Peter Carmeliet, Francesco Luigi Gervasio, Harald Schwalbe, and Francoise Bono","Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling","Cancer Cell 23, 489?501, April 15, 2013",10.1016/j.ccr.2013.02.018,2013,,,1.0,,,Duplicated blots,1,7/11/2016,,1.0,,1,Sanofi Research and Development,France,Phytopathology,366,PhD,Elsevier Science,19.0,16.0,1.19,22.0,10.0,28.0,,,,27600.0,99.0,111.3,0.6994328000000001,True
34,34,Corine Bertolotto,"Corine Bertolotto, Fabienne Lesueur, Sandy Giuliano, Thomas Strub, Mahaut de Lichy, Karine Bille, Philippe Dessen, and many others",A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,"Nature, 2011 Oct 19;480(7375):94-8",10.1038/nature10539,2011,,,,1.0,,Overlapping microscopy images,1,3/3/2016,,1.0,,1,University of Strasbourg,France,Department of Medicine,1344,,"Nature Publishing Group, Ovid Technologies, Inc.",88.0,20.0,4.4,22.0,10.0,28.0,201-225,29.7,29.2,27600.0,99.0,111.3,0.7566938,True
35,35,Dana Ben-Ami Shor,"Dana Ben-Ami Shor, Miri Blank, Sandra Reuter, Torsten Matthias, Inbal Beiglass, Alexander Volkov, Iris Barshack, Yehuda Shoenfeld",Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice,Journal of Autoimmunity 54 (2014) 118-126,10.1016/j.jaut.2014.02.013,2014,,,1.0,,,Duplicated microscopy panels,1,2/1/2016,,1.0,,1,Tel-Aviv University,Israel,Medicine,507,M.D.,"ClinicalKey, Elsevier Science",36.0,14.0,2.57,2.0,2.0,0.0,,,,19800.0,95.4,305.8,0.80484706,True
36,36,Daniel C Kraushaar,"Daniel C Kraushaar, Wenfei Jin, Alika Maunakea, Brian Abraham, Misook Ha, and Keji Zhao",Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3,"4  Biology 2013, 14:R121",10.1186/gb-2013-14-10-r121,2013,,,1.0,,,duplicated microscopy panel; might be error,1,,,1.0,,1,,USA,Medicine,96,PhD,"BioMed Central, Europe PubMed Central, PubMed Central",11.0,12.0,0.92,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.8114778,True
37,37,Dawn E. Watkins-Chow,"Dawn E. Watkins-Chow, Joanna Cooke, Ruth Pidsley, Andrew Edwards, Rebecca Slotkin, Karen E. Leeds, Raymond Mullen, Laura L. Baxter, Thomas G. Campbell, Marion C. Salzer, Laura Biondini, Gretchen Gibney, Franc _oise Phan Dinh Tuy, Jamel Chelly, H. Douglas Morris, Johannes Riegler, Mark F. Lythgoe, Ruth M. Arkell, Fabrizio Loreni, Jonathan Flint, William J. Pavan, David A. Keays",Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes,"PLOS Genetics, January 2013 | Volume 9 | Issue 1 | e1003094",10.1371/journal.pgen.1003094,2013,01January,,1.0,,,duplicated microscopy panels,1,11/19/2015,,1.0,,1,National Institutes of Health,USA,Human Genome Research,564,PhD,"Europe PubMed Central, PubMed Central, Public Library of Science",29.0,15.0,1.93,2992.0,96.0,50.0,,,,37800.0,97.0,31.0,0.7140604,True
38,38,Deok-Ho Song,"Deok-Ho Song, Ji-Houn Kang, Geun-Shik Lee, Eui-Bae Jeung, Mhan-Pyo Yang ",Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway,Cytokine 37 (2007) 227?235,10.1016/j.cyto.2007.04.003,2007,,,,1.0,,"Duplicated gel, differently cut",1,,,,1.0,1,Chungbuk National University,Korea,Veterinary Internal Medical,24,PhD,"Elsevier Science, Ovid Technologies, Inc.",2.0,2.0,1.0,11.0,90.0,3.0,,,,17800.0,97.9,496.0,0.7643578000000001,True
39,39,Doblin Sandai,"Doblin Sandai, Yin Zhikang, Laura Selway, David Stead, Janet Walker, Michelle D. Leach, Iryna Bohovych, Iuliana V. Ene, Stavroula Kastora, Susan Budge, Carol A. Munro, Frank C. Odds, Neil A. R. Gow, and Alistair J. P. Brown",The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans,mBio 3(6): 2012,10.1128/mBio.00495-12,2012,mBio,,1.0,,,Duplicated western blots,1,1/20/2015,,1.0,,1,Institute of Medical Sciences,UK,Medical Sciences,360,PhD,"American Society for Microbiology, Atypon, Europe PubMed Central, PubMed Central",29.0,9.0,3.22,229.0,4.0,5.0,,,,27700.0,99.0,247.6,0.62474084,True
